"player","white_games","black_games","total"
"Dominannt","7","8","15"
"DTChess17","8","7","15"
"edibleanimal","8","7","15"
"FedirBohatyrchuk1892","8","7","15"
"Ferrari011","7","8","15"
"flagging0zBullet","9","6","15"
"GAMBITO_HACK","7","8","15"
"Heliospool","7","8","15"
"hichemtall","7","8","15"
"IliyaShershnyov","8","7","15"
"King_Capture","7","8","15"
"MESSICR72012M","7","8","15"
"mike0607","7","8","15"
"MN_7216","8","7","15"
"Nightant","7","8","15"
"PepeilloFA","7","8","15"
"quasar","7","8","15"
"Queenofchessisland","8","7","15"
"Rcotdad","8","7","15"
"ruthvikerni","8","7","15"
"Salehab","8","7","15"
"samir12222222","8","7","15"
"SlowChessPlayer69","7","8","15"
"thestar97","8","7","15"
"WashingtonMS","8","7","15"
"xxxRAPxxx","8","7","15"
"Yuri-twitch","7","8","15"
"AbhimaanSNair","6","8","14"
"ALE13CHESS","7","7","14"
"alisodagar93","7","7","14"
"betzi_sanchez","7","7","14"
"Bluebreeze","7","7","14"
"Bossgoodness007","8","6","14"
"CVA728","8","6","14"
"D1ead","7","7","14"
"D1MAN888","8","6","14"
"Dani_SDB","8","6","14"
"Dharsin","7","7","14"
"Dominik-2717","7","7","14"
"EgorEgorS","4","10","14"
"EHZ2013","7","7","14"
"FLASH_CW_2024","7","7","14"
"fullofchit","6","8","14"
"guEsSwHSbAck","6","8","14"
"Hundename","6","8","14"
"igor302012","6","8","14"
"JeshurunOlu","7","7","14"
"Jfospina17","7","7","14"
"jjBarea","6","8","14"
"kariz55","8","6","14"
"kotdikii","7","7","14"
"kuropato4ca","7","7","14"
"Lamborghinisian90","8","6","14"
"Launcher1965","8","6","14"
